date,rendement_predit,vol_empirique,prediction,alpha(expo_crypto),rendement_observe,valeur_portefeuille,valeur_crypto
2019-10-25,0%,4%,neutral,100%,-4.976717112922002%,4903.702897045336,6530.0
2019-10-28,0%,4%,neutral,100%,-3.6327718223583494%,4725.562559949302,6292.78
2019-10-29,0%,4%,neutral,100%,5.453869355038621%,4983.288568259556,6635.98
2019-10-30,0%,4%,neutral,100%,-3.7233385272408936%,4797.743865073957,6388.9
2019-10-31,0%,4%,neutral,100%,5.064408583637259%,5040.721217197693,6712.46
2019-11-01,0%,4%,neutral,100%,0.4283079526730793%,5062.31102704303,6741.21
2019-11-04,0%,4%,neutral,100%,0.3011328826723947%,5077.555310168607,6761.51
2019-11-05,0%,4%,neutral,100%,-0.6310720534318581%,5045.512277608588,6718.84
2019-11-06,0%,4%,neutral,100%,-10.029112168171894%,4539.492191828339,6045.0
2019-11-07,0%,4%,neutral,100%,3.424317617866013%,4694.938822714768,6252.0
2019-11-08,0%,4%,neutral,100%,-2.898592450415871%,4558.851680447914,6070.78
2019-11-11,0%,4%,neutral,100%,1.0369342983932883%,4606.123977135358,6133.73
2019-11-12,0%,4%,neutral,100%,-4.5608463365684475%,4396.045740466378,5853.98
2019-11-13,0%,4%,neutral,100%,5.87531901373084%,4654.327451708304,6197.92
2019-11-14,0%,4%,neutral,100%,6.734033353124924%,4967.7514146699905,6615.29
2019-11-15,0%,4%,neutral,100%,-1.5332661153176996%,4891.582565535639,6513.86
2019-11-18,0%,4%,neutral,100%,1.1225294986382917%,4946.492022784025,6586.98
2019-11-19,0%,4%,neutral,100%,-0.8771849922119102%,4903.102137119204,6529.2
2019-11-20,-2%,4%,bear,100%,1.2341481345340855%,4963.613680678762,6609.78
2019-11-21,0%,4%,neutral,100%,0.7918569150561661%,4963.613680678762,6662.12
2019-11-22,0%,4%,neutral,100%,-5.481888648057975%,4963.613680678762,6296.91
2019-11-25,0%,4%,neutral,100%,1.2888861362160053%,4963.613680678762,6378.07
2019-11-26,0%,4%,neutral,100%,-1.9990373263385375%,4963.613680678762,6250.57
2019-11-27,0%,4%,neutral,100%,-0.5759474735904102%,4963.613680678762,6214.57
2019-11-28,0%,4%,neutral,100%,8.186889841131407%,4963.613680678762,6723.35
2019-11-29,0%,4%,neutral,100%,8.836220039117393%,4963.613680678762,7317.44
2019-12-02,0%,4%,neutral,100%,0.8809091704202521%,4963.613680678762,7381.9
2019-12-03,0%,4%,neutral,100%,1.1421178829298828%,4963.613680678762,7466.21
2019-12-04,0%,4%,neutral,100%,-1.7234982675279786%,4963.613680678762,7337.53
2019-12-05,0%,4%,neutral,100%,5.226281868694249%,4963.613680678762,7721.01
2019-12-06,0%,4%,neutral,100%,8.758310117458713%,4963.613680678762,8397.24
2019-12-09,0%,4%,neutral,100%,-2.638962325716543%,4963.613680678762,8175.64
2019-12-10,0%,4%,neutral,100%,-3.126850008072768%,4963.613680678762,7920.0
2019-12-11,0%,4%,neutral,100%,3.3910353535353543%,4963.613680678762,8188.57
2019-12-12,0%,4%,neutral,100%,-0.17890791676690165%,4963.613680678762,8173.92
2019-12-13,0%,4%,neutral,100%,-5.419553898251994%,4963.613680678762,7730.93
2019-12-16,0%,4%,neutral,100%,-1.6343441215998622%,4963.613680678762,7604.58
2019-12-17,2%,4%,bull,100%,-1.0371381456964035%,4963.613680678762,7525.71
2019-12-18,0%,4%,neutral,100%,-1.4208626162847127%,4893.087549473204,7418.78
2019-12-19,0%,4%,neutral,100%,-6.523444555573832%,4573.889696127633,6934.82
2019-12-20,0%,4%,neutral,100%,-3.096835966903244%,4432.243834931471,6720.06
2019-12-23,0%,4%,neutral,100%,-6.474049338845189%,4145.298182240083,6285.0
2019-12-24,0%,4%,neutral,100%,3.8948289578361273%,4306.750456230624,6529.79
2019-12-25,0%,4%,neutral,100%,-5.908000104138111%,4052.3076347915508,6144.01
2019-12-26,0%,4%,neutral,100%,1.6656873930869232%,4119.806412193372,6246.35
2019-12-27,0%,4%,neutral,100%,-0.9328647930391454%,4081.3741886326516,6188.08
2019-12-30,0%,4%,neutral,100%,1.2779408152447935%,4133.531735212054,6267.16
2019-12-31,0%,4%,neutral,100%,0.7114865425487782%,4162.941257240071,6311.75
2020-01-01,0%,4%,neutral,100%,4.321147066978259%,4342.828071277328,6584.49
